category	catid	basearea	county	distance	dayspassed	categoryscore	output
earthquakes	3	"50.756389, -4.388045"	Northumberland	66	293	0.03	no
severestorms	9	"51.230545, -2.190775"	Derbyshire	53	361	0.02	no
floods	4	"52.502298, -1.709848"	Northumberland	99	163	0.03	no
volcanoes	6	"54.893894,-2.929743"	Lincolnshire	18	132	0.04	no
watercolor	7	"53.190042,-2.887631"	County Durham	16	598	0.02	no
watercolor	7	"53.187754,-2.887104"	East Sussex	89	328	0.02	no
severestorms	9	"51.230545, -2.190775"	Lincolnshire	95	645	0.01	no
volcanoes	6	"54.893917,-2.931381"	Cambridgeshire	44	80	0.04	no
earthquakes	3	"53.621414, -0.564673"	East Sussex	48	553	0.02	no
watercolor	7	"53.188607,-2.889651"	North Yorkshire	82	538	0.02	no
droughts	1	"51.592305, -0.677504"	Shropshire	62	322	0.02	no
wildfire	2	"53.647587, -2.308129"	Kent	57	700	0.01	no
volcanoes	6	"54.894346,-2.931702"	Oxfordshire	12	631	0.01	no
wildfire	2	"53.650733, -2.310556"	Merseyside	47	88	0.04	no
droughts	1	"51.360609, 0.159776"	Oxfordshire	44	83	0.04	no
earthquakes	3	"53.621936, -0.561011"	Gloucestershire	83	689	0.01	no
volcanoes	6	"54.893894,-2.929743"	City of London	86	227	0.03	no
wildfire	2	"53.650733, -2.310556"	Greater London	11	435	0.02	no
tempextremes	5	"52.192267,0.137208"	Merseyside	31	428	0.02	no
watercolor	7	"53.188607,-2.889651"	Lincolnshire	51	320	0.02	no
volcanoes	6	"54.894791,-2.931089"	Surrey	45	7	0.07	yes
tempextremes	5	"51.378849,-2.355562"	County Durham	99	555	0.02	no
volcanoes	6	"54.894814,-2.930434"	West Sussex	31	542	0.02	no
volcanoes	6	"54.894346,-2.931702"	Oxfordshire	76	668	0.01	no
volcanoes	6	"54.894814,-2.930434"	Greater London	63	78	0.04	no
volcanoes	6	"54.893917,-2.931381"	Nottinghamshire	25	6	0.07	yes
earthquakes	3	"50.756389, -4.388045"	Cheshire	84	144	0.04	no
tempextremes	5	"52.192267,0.137208"	Nottinghamshire	91	312	0.02	no
volcanoes	6	"54.893894,-2.929743"	Gloucestershire	46	487	0.02	no
wildfire	2	"53.792789, -1.750545"	Greater London	41	685	0.01	no
tempextremes	5	"51.378849,-2.355562"	Tyne and Wear	30	221	0.03	no
tempextremes	5	"51.378849,-2.355562"	Lincolnshire	36	378	0.02	no
dusthaze	8	"52.252009,0.397695"	Shropshire	50	568	0.02	no
watercolor	7	"53.188509,-2.892222"	Essex	27	110	0.04	no
severestorms	9	"51.22787, -2.193757"	Tyne and Wear	49	6	0.07	yes
wildfire	2	"53.58222, -2.445691"	North Yorkshire	93	328	0.02	no
severestorms	9	"52.388014, -1.958608"	Suffolk	82	204	0.03	no
wildfire	2	"53.582279, -2.446658"	0	40	289	0.03	no
severestorms	9	"51.229835, -2.193459"	Surrey	90	451	0.02	no
droughts	1	"51.360609, 0.159776"	Tyne and Wear	39	63	0.04	no
earthquakes	3	"50.750926, -4.391852"	Buckinghamshire	12	230	0.03	no
floods	4	"52.500734, -1.706293"	Gloucestershire	72	44	0.07	yes
wildfire	2	"53.582669, -2.44393"	Essex	80	123	0.04	no
droughts	1	"51.343614, -0.770118"	Gloucestershire	62	35	0.07	yes
wildfire	2	"53.802228, -1.75588"	Merseyside	76	499	0.02	no
tempextremes	5	"51.378849,-2.355562"	Gloucestershire	44	456	0.02	no
dusthaze	8	"52.25256,0.397124"	West Sussex	67	546	0.02	no
droughts	1	"51.303163, -0.086941"	Cambridgeshire	37	630	0.01	no
severestorms	9	"51.229835, -2.193459"	Nottinghamshire	34	85	0.04	no
wildfire	2	"52.914939, -1.465616"	City of London	28	447	0.02	no
droughts	1	"51.428039, 0.014365"	Merseyside	69	258	0.03	no
dusthaze	8	"52.24757,0.401394"	Merseyside	13	265	0.03	no
earthquakes	3	"53.621041, -0.559832"	East Sussex	72	498	0.02	no
wildfire	2	"53.742346, -2.47627"	Greater London	33	151	0.03	no
watercolor	7	"53.188607,-2.889651"	Cambridgeshire	84	119	0.04	no
floods	4	"52.501381, -1.706348"	Surrey	74	290	0.03	no
wildfire	2	"53.547162, -2.007025"	Essex	28	39	0.07	yes
volcanoes	6	"54.894791,-2.931089"	Northumberland	100	440	0.02	no
wildfire	2	"53.744136, -2.480475"	Surrey	100	681	0.01	no
dusthaze	8	"52.24757,0.401394"	West Sussex	62	595	0.02	no
volcanoes	6	"54.893894,-2.929743"	Lincolnshire	13	388	0.02	no
dusthaze	8	"52.250454,0.398549"	Cambridgeshire	95	681	0.01	no
tempextremes	5	"52.192267,0.137208,,"	West Midlands	15	107	0.04	no
tempextremes	5	"51.378849,-2.355562"	West Sussex	18	457	0.02	no
floods	4	"52.500997, -1.710946"	Buckinghamshire	63	391	0.02	no
watercolor	7	"53.190142,-2.886673"	Greater London	22	697	0.01	no
floods	4	"52.500218, -1.708418"	Nottinghamshire	12	672	0.01	no
droughts	1	"50.821384, -0.150627 "	Nottinghamshire	63	75	0.04	no
earthquakes	3	"53.621936, -0.561011"	Greater Manchester	27	632	0.01	no
droughts	1	"51.720686, -1.629782"	Tyne and Wear	69	626	0.01	no
tempextremes	5	"52.192267,0.137208"	Lincolnshire	22	465	0.02	no
severestorms	9	"51.22787, -2.193757"	Buckinghamshire	64	402	0.02	no
severestorms	9	"51.229835, -2.193459"	0	61	688	0.01	no
severestorms	9	"51.229835, -2.193459"	Cheshire	51	676	0.01	no
droughts	1	"51.406929, 0.012445"	Lincolnshire	83	63	0.04	no
severestorms	9	"51.231182, -2.186065"	Surrey	91	581	0.02	no
tempextremes	5	"51.378849,-2.355562"	Essex	51	613	0.01	no
volcanoes	6	"54.893917,-2.931381"	Merseyside	53	31	0.07	yes
floods	4	"52.500218, -1.708418"	Kent	67	11	0.07	yes
tempextremes	5	"52.192267,0.137208"	Northumberland	99	12	0.07	yes
tempextremes	5	"51.378849,-2.355562"	Northumberland	77	79	0.04	no
volcanoes	6	"54.894346,-2.931702"	East Sussex	16	51	0.04	no
dusthaze	8	"52.352438,0.420868"	Essex	68	44	0.07	yes
watercolor	7	"53.190142,-2.886673"	0	93	23	0.07	yes
severestorms	9	"51.230545, -2.190775"	Buckinghamshire	63	559	0.02	no
wildfire	2	"52.914939, -1.465616"	0	32	333	0.02	no
tempextremes	5	"52.192267,0.137208"	Merseyside	89	224	0.03	no
dusthaze	8	"52.501578, -1.703127"	County Durham	60	192	0.03	no
tempextremes	5	"52.192267,0.137208"	Merseyside	40	197	0.03	no
tempextremes	5	"51.378849,-2.355562"	Essex	32	498	0.02	no
severestorms	9	"51.22787, -2.193757"	Gloucestershire	51	312	0.02	no
volcanoes	6	"54.894346,-2.931702"	North Yorkshire	70	274	0.03	no
severestorms	9	"51.230545, -2.190775"	Merseyside	61	536	0.02	no
dusthaze	8	"52.24757,0.401394"	Northumberland	42	27	0.07	yes
floods	4	"52.501381, -1.706348"	Nottinghamshire	13	119	0.04	no
tempextremes	5	"51.378849,-2.355562"	West Midlands	87	106	0.04	no
wildfire	2	"53.582279, -2.446658"	Cheshire	34	228	0.03	no
droughts	1	"50.784212, -1.791718"	North Yorkshire	76	566	0.02	no
droughts	1	"51.453523, -0.952437"	0	30	648	0.01	no
earthquakes	3	"53.625017, -0.559379"	Lincolnshire	58	382	0.02	no
dusthaze	8	"52.252009,0.397695"	North Yorkshire	60	299	0.03	no
tempextremes	5	"52.192267,0.137208"	Northumberland	27	632	0.01	no
droughts	1	"51.303163, -0.086941"	Oxfordshire	42	612	0.01	no
earthquakes	3	"50.756389, -4.388045"	Greater London	40	386	0.02	no
droughts	1	"50.752509, -1.720279"	0	42	489	0.02	no
severestorms	9	"51.22787, -2.193757"	Derbyshire	80	539	0.02	no
tempextremes	5	"52.192267,0.137208"	Cheshire	84	567	0.02	no
watercolor	7	"53.188509,-2.892222"	Oxfordshire	48	530	0.02	no
volcanoes	6	"54.893532,-2.930093"	Greater Manchester	90	574	0.02	no
severestorms	9	"51.229835, -2.193459"	Lincolnshire	23	316	0.02	no
floods	4	"52.501834, -1.708503"	Cheshire	73	288	0.03	no
tempextremes	5	"52.192267,0.137208"	Oxfordshire	32	46	0.07	yes
watercolor	7	"53.187754,-2.887104"	Tyne and Wear	92	270	0.03	no
droughts	1	"51.736885, -1.655441"	Buckinghamshire	95	351	0.02	no
earthquakes	3	"50.750926, -4.391852"	Buckinghamshire	56	60	0.04	no
earthquakes	3	"53.655566, -0.787796"	City of London	23	171	0.03	no
wildfire	2	"52.914939, -1.465616"	Greater Manchester	76	66	0.04	no
volcanoes	6	"54.894814,-2.930434"	Northumberland	40	24	0.07	yes
tempextremes	5	"51.378849,-2.355562"	Oxfordshire	50	653	0.01	no
volcanoes	6	"54.894346,-2.931702"	West Sussex	46	296	0.03	no
floods	4	"52.500609, -1.707671"	Lincolnshire	88	416	0.02	no
floods	4	"52.500218, -1.708418"	Essex	29	284	0.03	no
severestorms	9	"51.22787, -2.193757"	Oxfordshire	67	58	0.04	no
droughts	1	"51.303163, -0.086941"	Nottinghamshire	72	64	0.04	no
volcanoes	6	"54.893894,-2.929743"	Cambridgeshire	12	115	0.04	no
severestorms	9	"51.182197, -2.104447"	Gloucestershire	14	387	0.02	no
dusthaze	8	"52.252009,0.397695"	Kent	68	381	0.02	no
tempextremes	5	"51.378849,-2.355562"	North Yorkshire	99	301	0.02	no
earthquakes	3	"53.62355, -0.558431"	0	58	105	0.04	no
droughts	1	"51.736885, -1.655441"	Derbyshire	33	156	0.03	no
earthquakes	3	"53.625017, -0.559379"	County Durham	14	519	0.02	no
dusthaze	8	"52.24757,0.401394"	Merseyside	16	583	0.02	no
watercolor	7	"53.190042,-2.887631"	West Sussex	38	611	0.01	no
dusthaze	8	"52.352438,0.420868"	Kent	75	685	0.01	no
watercolor	7	"53.187754,-2.887104"	County Durham	14	59	0.04	no
wildfire	2	"53.547162, -2.007025"	Buckinghamshire	30	235	0.03	no
volcanoes	6	"54.894791,-2.931089"	Merseyside	11	692	0.01	no
severestorms	9	"51.231182, -2.186065"	Greater London	48	634	0.01	no
earthquakes	3	"50.736206, -4.392418"	Cambridgeshire	58	135	0.04	no
earthquakes	3	"53.620984, -0.566366"	Tyne and Wear	42	272	0.03	no
volcanoes	6	"54.894791,-2.931089"	Buckinghamshire	29	81	0.04	no
severestorms	9	"51.182197, -2.104447"	West Sussex	49	120	0.04	no
watercolor	7	"53.18945,-2.888651"	West Sussex	63	230	0.03	no
floods	4	"52.500997, -1.710946"	Tyne and Wear	28	333	0.02	no
dusthaze	8	"52.25256,0.397124"	Oxfordshire	30	532	0.02	no
watercolor	7	"53.190042,-2.887631"	Surrey	18	419	0.02	no
tempextremes	5	"52.192267,0.137208"	Tyne and Wear	76	639	0.01	no
watercolor	7	"53.18945,-2.888651"	Suffolk	28	10	0.07	yes
floods	4	"51.441301,-2.337974"	0	88	288	0.03	no
wildfire	2	"52.914939, -1.465616"	Cambridgeshire	28	409	0.02	no
watercolor	7	"53.190142,-2.886673"	Greater London	88	664	0.01	no
floods	4	"51.430593,-2.408768"	Lincolnshire	40	468	0.02	no
droughts	1	"51.360609, 0.159776"	Buckinghamshire	10	571	0.02	no
wildfire	2	"53.744284, -2.476638"	Suffolk	84	477	0.02	no
earthquakes	3	"50.757428, -4.44438"	Greater Manchester	63	532	0.02	no
earthquakes	3	"53.622245, -0.559065"	Suffolk	25	425	0.02	no
droughts	1	"51.737307, -1.65496"	West Midlands	38	217	0.03	no
floods	4	"51.430593,-2.408768"	Northumberland	17	473	0.02	no
dusthaze	8	"52.501578, -1.703127"	0	40	426	0.02	no
severestorms	9	"51.231182, -2.186065"	Gloucestershire	86	600	0.02	no
watercolor	7	"53.188509,-2.892222"	0	97	409	0.02	no
droughts	1	"51.736885, -1.655441"	Oxfordshire	19	633	0.01	no
severestorms	9	"51.229835, -2.193459"	Surrey	11	240	0.03	no
tempextremes	5	"51.378849,-2.355562"	Buckinghamshire	86	65	0.04	no
severestorms	9	"51.230545, -2.190775"	Suffolk	10	282	0.03	no
wildfire	2	"53.650733, -2.310556"	East Sussex	60	350	0.02	no
wildfire	2	"53.791967, -1.751093"	Oxfordshire	26	36	0.07	yes
tempextremes	5	"52.192267,0.137208"	Greater London	50	197	0.03	no
watercolor	7	"53.188509,-2.892222"	Greater Manchester	38	469	0.02	no
severestorms	9	"52.388014, -1.958608"	Suffolk	29	640	0.01	no
tempextremes	5	"51.378849,-2.355562"	City of London	67	139	0.04	no
droughts	1	"51.452464, -0.953699"	Kent	29	16	0.07	yes
tempextremes	5	"51.378849,-2.355562"	Cheshire	47	631	0.01	no
droughts	1	"51.34255, -0.766427"	City of London	85	528	0.02	no
floods	4	"51.441301,-2.337974"	Gloucestershire	50	447	0.02	no
severestorms	9	"52.388014, -1.958608"	Buckinghamshire	30	631	0.01	no
wildfire	2	"52.914939, -1.465616"	Cheshire	91	397	0.02	no
droughts	1	"51.428039, 0.014365"	Oxfordshire	41	15	0.07	yes
wildfire	2	"52.914939, -1.465616"	Oxfordshire	37	602	0.01	no
floods	4	"52.500997, -1.710946"	Kent	91	5	0.07	yes
earthquakes	3	"53.62355, -0.558431"	Merseyside	45	640	0.01	no
floods	4	"52.502298, -1.709848"	County Durham	18	502	0.02	no
watercolor	7	"53.190142,-2.886673"	Buckinghamshire	50	241	0.03	no
dusthaze	8	"52.352438,0.420868"	0	63	257	0.03	no
severestorms	9	"51.230545, -2.190775"	Nottinghamshire	87	412	0.02	no
tempextremes	5	"52.192267,0.137208"	County Durham	37	230	0.03	no
droughts	1	"50.784212, -1.791718"	Greater Manchester	26	129	0.04	no
earthquakes	3	"53.625017, -0.559379"	North Yorkshire	94	394	0.02	no
severestorms	9	"51.229835, -2.193459"	Kent	28	196	0.03	no
dusthaze	8	"52.501578, -1.703127"	North Yorkshire	75	286	0.03	no
tempextremes	5	"51.378849,-2.355562"	Northumberland	95	622	0.01	no
wildfire	2	"52.914939, -1.465616"	Tyne and Wear	73	78	0.04	no
severestorms	9	"52.388014, -1.958608"	Cheshire	26	540	0.02	no
volcanoes	6	"54.893917,-2.931381"	Suffolk	15	105	0.04	no
tempextremes	5	"52.192267,0.137208"	City of London	29	527	0.02	no
wildfire	2	"53.792723, -1.751681"	0	32	301	0.02	no
floods	4	"52.500734, -1.706293"	Surrey	66	221	0.03	no
floods	4	"52.501834, -1.708503"	Northumberland	67	692	0.01	no
dusthaze	8	"52.250454,0.398549"	West Midlands	41	626	0.01	no
dusthaze	8	"52.252009,0.397695"	West Sussex	95	422	0.02	no
volcanoes	6	"54.893532,-2.930093"	Lincolnshire	61	328	0.02	no
tempextremes	5	"51.378849,-2.355562"	City of London	28	587	0.02	no
droughts	1	"50.844031, -0.153183"	Tyne and Wear	92	493	0.02	no
wildfire	2	"53.802228, -1.75588"	Greater Manchester	34	688	0.01	no
dusthaze	8	"52.352438,0.420868"	Suffolk	13	258	0.03	no
droughts	1	"50.784212, -1.791718"	North Yorkshire	93	470	0.02	no
watercolor	7	"53.188607,-2.889651"	West Sussex	53	102	0.04	no
watercolor	7	"53.190142,-2.886673"	Northumberland	65	51	0.04	no
volcanoes	6	"54.894814,-2.930434"	Nottinghamshire	11	512	0.02	no
severestorms	9	"51.229835, -2.193459"	Gloucestershire	33	105	0.04	no
floods	4	"52.501051, -1.707499"	Shropshire	93	343	0.02	no
watercolor	7	"53.18945,-2.888651"	County Durham	34	58	0.04	no
watercolor	7	"53.188607,-2.889651"	County Durham	33	698	0.01	no
severestorms	9	"51.22787, -2.193757"	Cambridgeshire	21	249	0.03	no
floods	4	"52.501381, -1.706348"	Essex	24	676	0.01	no
tempextremes	5	"52.192267,0.137208"	Shropshire	31	406	0.02	no
volcanoes	6	"54.893917,-2.931381"	West Sussex	33	527	0.02	no
wildfire	2	"53.744136, -2.480475"	Cheshire	21	348	0.02	no
dusthaze	8	"52.250454,0.398549"	City of London	54	218	0.03	no
tempextremes	5	"51.378849,-2.355562"	Shropshire	54	603	0.01	no
floods	4	"52.502267, -1.70836"	Gloucestershire	21	670	0.01	no
volcanoes	6	"54.894346,-2.931702"	Derbyshire	75	407	0.02	no
earthquakes	3	"53.621367, -0.559812"	Derbyshire	48	535	0.02	no
volcanoes	6	"54.894814,-2.930434"	Buckinghamshire	87	455	0.02	no
dusthaze	8	"52.352438,0.420868"	County Durham	17	487	0.02	no
earthquakes	3	"53.621956, -0.568707"	Essex	27	590	0.02	no
dusthaze	8	"52.24757,0.401394"	County Durham	47	306	0.02	no
droughts	1	"50.814132, -0.37069"	Greater Manchester	54	285	0.03	no
floods	4	"52.501381, -1.706348"	Suffolk	36	664	0.01	no
volcanoes	6	"54.893532,-2.930093"	West Midlands	71	261	0.03	no
droughts	1	"51.406423, 0.012595"	County Durham	71	114	0.04	no
dusthaze	8	"52.250454,0.398549"	North Yorkshire	58	343	0.02	no
tempextremes	5	"51.378849,-2.355562"	Buckinghamshire	64	94	0.04	no
floods	4	"52.501381, -1.706348"	Suffolk	29	403	0.02	no
floods	4	"51.441506,-2.354437"	Cheshire	64	649	0.01	no
severestorms	9	"51.229835, -2.193459"	Nottinghamshire	78	634	0.01	no
earthquakes	3	"50.736206, -4.392418"	Merseyside	68	220	0.03	no
tempextremes	5	"51.378849,-2.355562"	Nottinghamshire	35	328	0.02	no
earthquakes	3	"53.621414, -0.564673"	Merseyside	37	564	0.02	no
wildfire	2	"52.914939, -1.465616"	North Yorkshire	76	64	0.04	no
tempextremes	5	"51.378849,-2.355562"	City of London	53	296	0.03	no
earthquakes	3	"53.622245, -0.559065"	Shropshire	85	530	0.02	no
wildfire	2	"53.802228, -1.75588"	Suffolk	12	59	0.04	no
volcanoes	6	"54.894791,-2.931089"	Cambridgeshire	31	599	0.02	no
wildfire	2	"53.792723, -1.751681"	West Sussex	55	184	0.03	no
droughts	1	"51.720686, -1.629782"	0	79	174	0.03	no
wildfire	2	"53.792723, -1.751681"	0	17	61	0.04	no
severestorms	9	"51.229835, -2.193459"	East Sussex	17	654	0.01	no
watercolor	7	"53.187754,-2.887104"	West Sussex	66	567	0.02	no
volcanoes	6	"54.893917,-2.931381"	Buckinghamshire	83	667	0.01	no
floods	4	"52.502298, -1.709848"	Buckinghamshire	33	612	0.01	no
wildfire	2	"53.744282, -2.473274"	Essex	60	68	0.04	no
volcanoes	6	"54.894346,-2.931702"	Kent	27	201	0.03	no
watercolor	7	"53.187754,-2.887104"	Kent	95	172	0.03	no
watercolor	7	"53.187754,-2.887104"	City of London	75	485	0.02	no
volcanoes	6	"54.893894,-2.929743"	Nottinghamshire	80	475	0.02	no
volcanoes	6	"54.894791,-2.931089"	Lincolnshire	55	159	0.03	no
tempextremes	5	"52.192267,0.137208"	West Midlands	79	81	0.04	no
volcanoes	6	"54.893894,-2.929743"	Buckinghamshire	92	530	0.02	no
dusthaze	8	"52.252009,0.397695"	Greater Manchester	64	349	0.02	no
floods	4	"51.441506,-2.354437"	Essex	80	257	0.03	no
severestorms	9	"51.230545, -2.190775"	City of London	75	96	0.04	no
dusthaze	8	"52.252009,0.397695"	County Durham	84	201	0.03	no
floods	4	"51.441301,-2.337974"	Greater Manchester	75	552	0.02	no
volcanoes	6	"54.894346,-2.931702"	Essex	39	259	0.03	no
watercolor	7	"53.187754,-2.887104"	Essex	75	648	0.01	no
watercolor	7	"53.190142,-2.886673"	Greater Manchester	39	536	0.02	no
dusthaze	8	"52.352438,0.420868"	Derbyshire	30	218	0.03	no
dusthaze	8	"52.24757,0.401394"	Oxfordshire	94	496	0.02	no
watercolor	7	"53.18945,-2.888651"	East Sussex	57	207	0.03	no
floods	4	"52.500609, -1.707671"	Cheshire	68	599	0.02	no
wildfire	2	"52.914939, -1.465616"	Kent	97	103	0.04	no
volcanoes	6	"54.893894,-2.929743"	County Durham	90	660	0.01	no
volcanoes	6	"54.893894,-2.929743"	Nottinghamshire	44	330	0.02	no
floods	4	"51.438727,-2.347839"	Shropshire	17	169	0.03	no
dusthaze	8	"52.252009,0.397695"	West Midlands	69	384	0.02	no
dusthaze	8	"52.250454,0.398549"	Cheshire	93	60	0.04	no
tempextremes	5	"51.378849,-2.355562"	Suffolk	37	482	0.02	no
tempextremes	5	"52.192267,0.137208"	West Sussex	59	576	0.02	no
watercolor	7	"53.190142,-2.886673"	Northumberland	55	330	0.02	no
dusthaze	8	"52.250454,0.398549"	Oxfordshire	52	201	0.03	no
volcanoes	6	"54.893894,-2.929743"	Lincolnshire	34	429	0.02	no
wildfire	2	"53.791967, -1.751093"	Surrey	19	570	0.02	no
dusthaze	8	"52.250454,0.398549"	Surrey	49	566	0.02	no
floods	4	"52.501381, -1.706348"	Cambridgeshire	42	304	0.02	no
floods	4	"51.430593,-2.408768"	Merseyside	17	456	0.02	no
earthquakes	3	"50.750023, -4.395419"	Lincolnshire	55	122	0.04	no
tempextremes	5	"52.192267,0.137208"	0	85	425	0.02	no
volcanoes	6	"54.893894,-2.929743"	Suffolk	30	336	0.02	no
droughts	1	"51.360609, 0.159776"	0	15	141	0.04	no
tempextremes	5	"52.192267,0.137208"	Merseyside	47	693	0.01	no
dusthaze	8	"52.352438,0.420868"	Greater Manchester	16	676	0.01	no
floods	4	"52.502298, -1.709848"	Greater Manchester	85	246	0.03	no
floods	4	"52.500609, -1.707671"	Oxfordshire	12	398	0.02	no
droughts	1	"51.453523, -0.952437"	Northumberland	27	28	0.07	yes
earthquakes	3	"53.622259, -0.563994"	County Durham	23	90	0.04	no
earthquakes	3	"53.621041, -0.559832"	Buckinghamshire	80	111	0.04	no
dusthaze	8	"52.250454,0.398549"	East Sussex	64	210	0.03	no
droughts	1	"50.821384, -0.150627 "	County Durham	76	11	0.07	yes
watercolor	7	"53.190142,-2.886673"	Buckinghamshire	57	546	0.02	no
wildfire	2	"53.744175, -2.477564"	West Sussex	74	270	0.03	no
droughts	1	"51.453523, -0.952437"	West Sussex	55	365	0.02	no
severestorms	9	"51.182197, -2.104447"	Tyne and Wear	84	71	0.04	no
dusthaze	8	"52.501578, -1.703127"	Oxfordshire	77	687	0.01	no
tempextremes	5	"52.192267,0.137208"	Greater London	28	211	0.03	no
earthquakes	3	"53.655566, -0.787796"	Essex	48	131	0.04	no
floods	4	"52.501834, -1.708503"	Shropshire	62	135	0.04	no
floods	4	"52.502267, -1.70836"	Northumberland	93	372	0.02	no
earthquakes	3	"53.655566, -0.787796"	East Sussex	26	115	0.04	no
dusthaze	8	"52.501578, -1.703127"	West Sussex	83	320	0.02	no
tempextremes	5	"51.378849,-2.355562"	Essex	20	370	0.02	no
droughts	1	"50.821384, -0.150627 "	Kent	28	394	0.02	no
tempextremes	5	"51.378849,-2.355562"	Shropshire	26	336	0.02	no
dusthaze	8	"52.501578, -1.703127"	North Yorkshire	78	310	0.02	no
watercolor	7	"53.188607,-2.889651"	Oxfordshire	57	172	0.03	no
watercolor	7	"53.187754,-2.887104"	Lincolnshire	99	151	0.03	no
tempextremes	5	"51.378849,-2.355562"	Nottinghamshire	65	240	0.03	no
dusthaze	8	"52.501578, -1.703127"	Suffolk	49	184	0.03	no
earthquakes	3	"50.756389, -4.388045"	Merseyside	21	568	0.02	no
watercolor	7	"53.18945,-2.888651"	Cheshire	54	587	0.02	no
watercolor	7	"53.188607,-2.889651"	Greater Manchester	50	359	0.02	no
volcanoes	6	"54.893532,-2.930093"	Essex	86	557	0.02	no
earthquakes	3	"50.757428, -4.44438"	Gloucestershire	98	664	0.01	no
tempextremes	5	"51.378849,-2.355562"	County Durham	59	373	0.02	no
dusthaze	8	"52.252009,0.397695"	Derbyshire	68	134	0.04	no
dusthaze	8	"52.352438,0.420868"	Surrey	99	658	0.01	no
volcanoes	6	"54.893917,-2.931381"	Merseyside	49	417	0.02	no
earthquakes	3	"53.62355, -0.558431"	Oxfordshire	24	302	0.02	no
droughts	1	"51.360609, 0.159776"	Oxfordshire	80	240	0.03	no
floods	4	"51.441301,-2.337974"	Essex	33	296	0.03	no
dusthaze	8	"52.24757,0.401394"	Greater Manchester	88	200	0.03	no
earthquakes	3	"53.62355, -0.558431"	Greater London	89	514	0.02	no
floods	4	"52.500609, -1.707671"	Surrey	75	37	0.07	yes
watercolor	7	"53.187754,-2.887104"	North Yorkshire	19	306	0.02	no
wildfire	2	"53.802228, -1.75588"	Buckinghamshire	67	457	0.02	no
tempextremes	5	"52.192267,0.137208"	West Midlands	22	522	0.02	no
volcanoes	6	"54.894346,-2.931702"	Merseyside	94	393	0.02	no
tempextremes	5	"52.192267,0.137208"	Northumberland	36	447	0.02	no
floods	4	"52.501834, -1.708503"	Suffolk	55	596	0.02	no
severestorms	9	"51.231182, -2.186065"	East Sussex	60	107	0.04	no
droughts	1	"51.303163, -0.086941"	Kent	41	577	0.02	no
dusthaze	8	"52.24757,0.401394"	Buckinghamshire	44	473	0.02	no
dusthaze	8	"52.352438,0.420868"	Oxfordshire	15	589	0.02	no
droughts	1	"50.850164, -0.150313"	Cambridgeshire	42	640	0.01	no
wildfire	2	"52.914939, -1.465616"	East Sussex	47	287	0.03	no
floods	4	"51.441506,-2.354437"	Gloucestershire	70	148	0.04	no
tempextremes	5	"52.192267,0.137208"	City of London	88	682	0.01	no
droughts	1	"51.736885, -1.655441"	Oxfordshire	69	109	0.04	no
dusthaze	8	"52.352438,0.420868"	Northumberland	12	341	0.02	no
floods	4	"51.430593,-2.408768"	Tyne and Wear	84	86	0.04	no
wildfire	2	"52.914939, -1.465616"	Gloucestershire	99	60	0.04	no
wildfire	2	"53.792789, -1.750545"	North Yorkshire	60	626	0.01	no
earthquakes	3	"53.622259, -0.563994"	Greater Manchester	61	489	0.02	no
